Timestamp,AQI,CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3
2022-01-01 00:00:00,5.0,5287.17,46.94,102.82,0.0,19.79,350.09,417.05,72.96
2022-01-01 01:00:00,5.0,5180.36,42.47,97.33,0.0,13.59,357.84,419.38,54.72
2022-01-01 02:00:00,5.0,5126.95,38.44,90.48,0.0,8.94,370.87,427.93,39.01
2022-01-01 03:00:00,5.0,5233.76,35.76,89.11,0.0,7.87,386.01,439.14,34.96
2022-01-01 04:00:00,5.0,5233.76,32.19,90.48,0.0,9.89,395.5,448.0,45.6
2022-01-01 05:00:00,5.0,4913.33,25.48,87.74,0.01,12.04,391.02,443.33,59.28
2022-01-01 06:00:00,5.0,4432.68,20.34,78.83,0.01,14.07,375.93,426.32,71.94
2022-01-01 07:00:00,5.0,4592.9,30.4,71.97,0.0,16.93,394.36,446.29,78.02
2022-01-01 08:00:00,5.0,5180.36,51.86,67.86,0.16,16.69,432.63,485.73,61.3
2022-01-01 09:00:00,5.0,4699.71,42.92,59.63,4.65,9.06,404.74,447.48,17.73
2022-01-01 10:00:00,5.0,4272.46,29.06,58.95,21.28,7.45,388.51,428.81,14.95
2022-01-01 11:00:00,5.0,3952.03,16.54,59.63,59.37,7.39,390.22,430.92,16.21
2022-01-01 12:00:00,5.0,1508.71,2.91,23.99,148.77,57.7,205.04,221.41,2.28
2022-01-01 13:00:00,5.0,1241.68,2.46,22.28,170.23,80.11,187.59,201.93,1.39
2022-01-01 14:00:00,5.0,1228.33,1.9,21.76,188.83,81.06,192.77,207.28,1.77
2022-01-01 15:00:00,5.0,1789.09,3.55,43.53,150.2,65.8,232.4,253.2,8.11
2022-01-01 16:00:00,5.0,2723.69,5.42,80.2,91.55,47.68,291.54,322.35,16.47
2022-01-01 17:00:00,5.0,3791.81,4.3,130.24,36.84,41.96,346.98,386.81,27.11
2022-01-01 18:00:00,5.0,4699.71,7.38,154.91,3.17,41.48,399.36,447.23,39.01
2022-01-01 19:00:00,5.0,4859.92,13.86,134.35,0.39,34.81,430.66,483.35,39.52
2022-01-01 20:00:00,5.0,4379.27,6.15,113.79,5.23,26.7,428.61,479.7,33.44
2022-01-01 21:00:00,5.0,3524.78,0.01,79.51,35.05,20.27,386.65,430.9,26.35
2022-01-01 22:00:00,5.0,3471.37,0.12,74.03,23.25,11.8,381.87,430.29,29.39
2022-01-01 23:00:00,5.0,3578.19,1.42,73.34,8.23,7.99,379.84,433.13,28.37
