Timestamp,AQI,CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3
2022-01-01 00:00:00,4.0,814.44,0.0,17.31,59.37,2.29,39.77,44.59,4.02
2022-01-01 01:00:00,4.0,707.63,0.0,13.19,62.23,1.62,35.28,39.15,2.91
2022-01-01 02:00:00,4.0,600.81,0.0,9.08,66.52,1.25,31.22,34.41,2.47
2022-01-01 03:00:00,4.0,547.41,0.0,7.11,68.66,1.15,28.31,31.27,2.37
2022-01-01 04:00:00,4.0,514.03,0.0,5.91,70.81,1.15,26.15,29.1,2.28
2022-01-01 05:00:00,3.0,487.33,0.0,5.27,72.24,1.16,24.14,27.1,2.18
2022-01-01 06:00:00,3.0,494.0,0.0,5.91,71.53,1.34,23.91,27.08,2.5
2022-01-01 07:00:00,4.0,634.19,0.0,12.17,62.94,2.21,30.98,35.42,4.37
2022-01-01 08:00:00,4.0,894.55,0.02,26.05,47.21,3.46,43.55,50.0,6.97
2022-01-01 09:00:00,5.0,1094.82,0.47,35.99,36.12,3.99,52.5,60.53,8.04
2022-01-01 10:00:00,5.0,1148.22,1.96,36.67,37.91,3.76,54.18,62.92,6.97
2022-01-01 11:00:00,4.0,988.01,2.43,29.47,52.21,3.13,44.09,51.96,5.0
2022-01-01 12:00:00,2.0,393.87,0.33,5.48,85.83,1.25,10.89,13.38,0.94
2022-01-01 13:00:00,2.0,333.79,0.22,3.13,87.26,0.91,6.82,8.26,0.62
2022-01-01 14:00:00,2.0,320.43,0.2,2.59,87.98,0.85,5.63,6.76,0.55
2022-01-01 15:00:00,2.0,317.1,0.21,2.29,87.98,0.8,4.9,6.04,0.51
2022-01-01 16:00:00,2.0,317.1,0.23,2.36,87.26,0.83,4.42,5.67,0.55
2022-01-01 17:00:00,2.0,323.77,0.16,2.96,86.55,0.89,3.96,5.27,0.62
2022-01-01 18:00:00,2.0,620.84,0.08,20.91,58.65,2.0,13.32,16.55,3.99
2022-01-01 19:00:00,4.0,1094.82,0.17,44.55,26.11,3.99,33.09,39.63,9.37
2022-01-01 20:00:00,5.0,1522.06,1.31,58.95,8.31,6.79,56.04,65.83,16.97
2022-01-01 21:00:00,5.0,1789.09,3.13,66.49,2.77,9.78,76.3,87.54,25.59
2022-01-01 22:00:00,5.0,1895.9,3.3,69.23,2.64,11.68,87.02,98.29,31.16
2022-01-01 23:00:00,5.0,1815.8,1.73,67.17,5.59,12.04,84.92,95.18,31.66
2022-01-02 00:00:00,5.0,1415.25,0.11,53.47,18.42,9.54,63.01,71.09,23.56
2022-01-02 01:00:00,4.0,1134.87,0.01,40.44,26.46,7.51,49.64,56.59,17.48
2022-01-02 02:00:00,4.0,974.66,0.0,31.19,31.83,6.14,42.95,49.51,13.55
2022-01-02 03:00:00,4.0,894.55,0.0,26.39,35.05,5.54,40.71,47.56,11.65
2022-01-02 04:00:00,4.0,834.47,0.0,23.31,38.62,5.54,39.84,47.28,11.4
2022-01-02 05:00:00,4.0,767.71,0.0,20.39,42.92,5.3,37.87,45.8,10.89
2022-01-02 06:00:00,4.0,707.63,0.0,18.16,47.21,5.13,35.81,43.87,10.64
2022-01-02 07:00:00,4.0,781.06,0.01,21.76,45.78,6.02,40.19,49.0,13.05
2022-01-02 08:00:00,4.0,974.66,0.13,32.56,34.69,7.51,49.96,60.06,16.97
2022-01-02 09:00:00,5.0,1028.06,4.64,29.82,34.69,7.09,51.21,61.9,16.72
2022-01-02 10:00:00,4.0,961.3,8.38,20.56,45.06,5.25,47.8,58.48,12.92
2022-01-02 11:00:00,4.0,907.9,8.38,17.14,57.22,3.61,46.89,57.2,9.63
2022-01-02 12:00:00,2.0,317.1,0.89,2.59,86.55,1.1,9.72,12.4,1.23
2022-01-02 13:00:00,2.0,280.38,0.45,1.39,91.55,0.78,8.02,10.26,0.82
2022-01-02 14:00:00,2.0,280.38,0.34,1.15,94.41,0.72,9.1,11.32,0.72
2022-01-02 15:00:00,2.0,283.72,0.35,1.41,94.41,0.83,10.59,12.74,0.77
2022-01-02 16:00:00,2.0,303.75,0.36,2.18,94.41,1.0,13.36,15.79,0.96
2022-01-02 17:00:00,2.0,327.11,0.19,3.38,90.84,1.1,16.07,18.84,1.12
2022-01-02 18:00:00,3.0,433.92,0.02,9.0,79.39,1.52,21.6,25.44,2.63
2022-01-02 19:00:00,4.0,580.79,0.0,15.08,65.8,2.12,30.92,36.54,5.07
2022-01-02 20:00:00,4.0,694.27,0.0,17.99,58.65,2.53,40.51,47.97,6.46
2022-01-02 21:00:00,4.0,687.6,0.0,15.25,58.65,2.38,44.64,53.27,6.14
2022-01-02 22:00:00,4.0,627.52,0.0,11.82,63.66,2.0,44.77,53.56,5.13
2022-01-02 23:00:00,4.0,560.76,0.0,9.34,68.66,1.62,43.95,52.08,3.8
2022-01-03 00:00:00,4.0,473.98,0.0,6.51,75.1,1.13,40.76,47.49,2.18
2022-01-03 01:00:00,4.0,417.23,0.0,4.5,79.39,0.97,38.74,44.37,1.5
2022-01-03 02:00:00,4.0,383.85,0.0,2.87,83.68,0.92,36.98,41.76,1.16
