CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3,AQI,Timestamp
3044.13,12.18,75.4,0.12,13.71,236.27,267.7,49.65,5,2023-01-01 00:00:00
3257.75,18.55,75.4,0.06,17.17,244.63,277.64,58.26,5,2023-01-01 01:00:00
3952.03,44.7,77.46,0.0,22.65,260.9,298.33,69.92,5,2023-01-01 02:00:00
5233.76,97.45,81.57,0.16,28.13,274.04,315.84,79.04,5,2023-01-01 03:00:00
6729.13,159.14,90.48,2.95,34.81,294.27,341.18,89.17,5,2023-01-01 04:00:00
7583.62,182.39,106.93,8.4,39.1,307.59,357.77,96.26,5,2023-01-01 05:00:00
6942.75,146.63,123.38,17.88,35.29,284.37,331.14,82.08,5,2023-01-01 06:00:00
1428.6,9.39,38.73,97.27,25.75,73.85,84.87,13.43,4,2023-01-01 07:00:00
1094.82,5.25,26.05,117.3,27.18,64.65,73.33,9.37,4,2023-01-01 08:00:00
988.01,3.63,22.62,130.18,31.47,66.43,74.47,7.98,4,2023-01-01 09:00:00
2056.12,13.63,62.38,80.82,23.13,112.58,127.78,15.45,5,2023-01-01 10:00:00
3524.78,36.21,102.82,26.46,13.35,182.33,206.75,23.31,5,2023-01-01 11:00:00
4646.3,72.42,116.53,3.08,11.32,229.91,261.02,29.39,5,2023-01-01 12:00:00
6301.88,132.32,128.87,0.0,17.88,276.09,314.54,47.62,5,2023-01-01 13:00:00
8544.92,202.06,156.28,0.0,29.56,340.99,389.45,76.0,5,2023-01-01 14:00:00
11108.4,264.64,186.44,0.0,41.96,424.09,486.02,107.41,5,2023-01-01 15:00:00
13565.06,311.14,216.6,0.0,54.84,506.37,586.64,139.83,5,2023-01-01 16:00:00
14099.12,307.56,227.57,0.0,60.56,540.07,636.84,158.07,5,2023-01-01 17:00:00
12817.38,261.07,211.12,0.0,57.22,511.69,612.94,151.99,5,2023-01-01 18:00:00
10574.34,205.64,178.22,0.0,45.78,444.79,539.49,122.61,5,2023-01-01 19:00:00
8651.73,157.36,149.43,0.0,34.33,385.11,467.85,92.21,5,2023-01-01 20:00:00
7156.37,116.23,126.12,0.0,26.46,346.72,419.4,71.94,5,2023-01-01 21:00:00
6355.29,92.98,116.53,0.0,28.37,330.07,392.29,67.89,5,2023-01-01 22:00:00
6301.88,87.62,117.9,0.0,37.67,340.68,395.71,76.0,5,2023-01-01 23:00:00
6568.91,87.62,124.75,0.0,44.82,357.75,408.8,82.08,5,2023-01-02 00:00:00
6462.1,82.25,124.75,0.0,48.64,362.05,409.38,82.08,5,2023-01-02 01:00:00
6568.91,88.51,119.27,0.0,49.11,368.99,417.86,82.08,5,2023-01-02 02:00:00
7049.56,121.59,111.04,0.11,44.82,370.49,422.91,77.01,5,2023-01-02 03:00:00
6782.53,128.75,97.33,2.86,25.75,336.21,384.63,43.57,5,2023-01-02 04:00:00
6355.29,126.96,91.85,8.85,17.4,311.76,359.2,35.97,5,2023-01-02 05:00:00
5554.2,96.56,97.33,19.13,14.78,285.52,330.86,30.15,5,2023-01-02 06:00:00
1815.8,9.16,44.55,105.86,24.8,140.39,156.95,12.54,5,2023-01-02 07:00:00
1482.01,4.86,31.19,134.47,27.89,141.15,155.44,10.77,5,2023-01-02 08:00:00
1441.96,3.46,28.45,153.06,32.42,151.33,165.27,10.64,5,2023-01-02 09:00:00
2696.99,11.29,75.4,98.71,22.89,217.43,240.12,18.49,5,2023-01-02 10:00:00
4325.87,29.06,127.49,31.47,14.54,304.51,338.1,26.35,5,2023-01-02 11:00:00
5554.2,67.95,143.95,2.95,13.23,352.46,392.74,31.16,5,2023-01-02 12:00:00
7263.18,132.32,152.17,0.01,18.84,394.84,442.66,43.57,5,2023-01-02 13:00:00
8972.17,185.97,167.25,0.0,29.33,451.12,509.91,66.88,5,2023-01-02 14:00:00
10040.28,212.79,178.22,0.0,37.67,510.73,582.12,89.17,5,2023-01-02 15:00:00
11322.02,239.61,191.93,0.0,47.21,582.75,665.17,114.5,5,2023-01-02 16:00:00
12176.51,243.19,202.89,0.0,54.36,633.08,721.7,133.75,5,2023-01-02 17:00:00
11856.08,225.31,200.15,0.0,55.31,633.12,719.47,135.78,5,2023-01-02 18:00:00
10787.96,194.91,191.93,0.0,51.5,587.53,662.44,124.63,5,2023-01-02 19:00:00
9826.66,168.09,183.7,0.0,48.64,545.6,611.11,115.51,5,2023-01-02 20:00:00
9078.98,141.26,175.48,0.0,46.73,514.83,576.53,112.47,5,2023-01-02 21:00:00
7797.24,108.18,159.03,0.0,42.92,467.5,521.81,103.35,5,2023-01-02 22:00:00
6195.07,70.63,135.72,0.0,36.72,412.88,458.28,88.16,5,2023-01-02 23:00:00
4966.74,43.81,113.79,0.0,30.99,374.52,414.51,76.0,5,2023-01-03 00:00:00
4112.24,29.95,97.33,0.02,27.42,344.13,381.23,68.9,5,2023-01-03 01:00:00
4486.08,50.51,90.48,0.0,29.33,346.47,388.67,74.98,5,2023-01-03 02:00:00
6088.26,114.44,94.59,0.08,34.81,384.17,437.86,89.17,5,2023-01-03 03:00:00
8438.11,200.27,109.67,1.79,45.3,451.19,520.86,111.46,5,2023-01-03 04:00:00
9933.47,243.19,128.87,5.9,52.93,499.68,579.6,125.65,5,2023-01-03 05:00:00
9399.41,209.21,149.43,13.05,48.16,475.96,551.69,109.43,5,2023-01-03 06:00:00
2136.23,11.85,53.47,98.71,30.52,167.67,186.67,19.51,5,2023-01-03 07:00:00
1562.12,5.7,33.59,128.75,29.33,145.52,161.02,14.19,5,2023-01-03 08:00:00
1401.9,3.69,27.42,144.48,28.61,141.96,156.29,13.17,5,2023-01-03 09:00:00
1922.61,4.02,41.13,144.48,19.07,200.41,220.49,16.21,5,2023-01-03 10:00:00
2563.48,3.49,63.75,130.18,13.35,270.43,296.74,19.25,5,2023-01-03 11:00:00
3017.43,0.91,87.05,100.14,12.28,301.62,331.02,19.76,5,2023-01-03 12:00:00
3524.78,0.01,108.3,70.81,12.16,323.98,356.0,20.27,5,2023-01-03 13:00:00
3738.4,0.0,113.79,61.51,12.16,344.71,379.46,21.28,5,2023-01-03 14:00:00
3738.4,0.0,104.19,63.66,11.68,358.4,395.18,21.79,5,2023-01-03 15:00:00
3791.81,0.0,101.45,55.79,10.73,365.95,404.66,23.31,5,2023-01-03 16:00:00
3952.03,0.04,108.3,36.84,9.78,375.26,418.32,25.59,5,2023-01-03 17:00:00
3898.62,0.25,111.04,23.6,8.7,368.08,412.79,24.83,5,2023-01-03 18:00:00
3578.19,0.17,98.71,23.25,6.97,343.67,385.57,19.76,5,2023-01-03 19:00:00
3150.94,0.02,81.57,31.11,5.9,311.76,349.94,16.47,5,2023-01-03 20:00:00
2723.69,0.0,65.12,37.19,5.36,270.63,304.98,14.57,5,2023-01-03 21:00:00
2269.74,0.0,49.35,40.77,4.95,219.81,249.33,13.81,5,2023-01-03 22:00:00
1922.61,0.0,39.76,40.41,4.77,180.21,205.43,15.2,5,2023-01-03 23:00:00
1762.39,0.01,37.01,36.48,4.95,152.66,175.04,15.83,5,2023-01-04 00:00:00
1789.09,0.15,43.53,24.68,5.78,134.0,155.88,17.73,5,2023-01-04 01:00:00
2510.07,14.19,63.75,2.15,9.06,143.32,170.99,25.33,5,2023-01-04 02:00:00
4112.24,71.53,72.66,0.19,13.83,173.96,211.65,34.96,5,2023-01-04 03:00:00
5821.23,135.9,81.57,3.08,18.36,211.93,259.93,43.57,5,2023-01-04 04:00:00
6462.1,159.14,87.74,7.96,19.07,227.74,279.98,43.06,5,2023-01-04 05:00:00
5767.82,126.96,98.71,16.45,17.64,210.85,259.39,35.97,5,2023-01-04 06:00:00
1976.01,18.33,56.21,77.96,20.74,98.99,117.32,16.47,5,2023-01-04 07:00:00
1508.71,8.61,40.44,110.15,22.41,102.73,118.48,14.31,5,2023-01-04 08:00:00
1468.66,5.92,36.67,130.18,24.32,115.64,131.45,13.93,5,2023-01-04 09:00:00
2216.34,10.51,63.06,100.14,19.31,150.56,171.1,17.48,5,2023-01-04 10:00:00
3231.05,19.67,101.45,47.92,14.42,193.15,220.0,22.04,5,2023-01-04 11:00:00
4165.65,39.34,128.87,7.6,12.4,216.47,247.58,25.59,5,2023-01-04 12:00:00
6034.85,109.97,131.61,0.01,13.47,252.9,292.1,33.44,5,2023-01-04 13:00:00
7904.05,180.6,132.98,0.0,15.5,308.96,360.74,43.06,5,2023-01-04 14:00:00
8544.92,202.06,135.72,0.0,17.88,360.39,422.82,49.65,5,2023-01-04 15:00:00
8865.36,200.27,139.83,0.0,25.03,402.89,472.58,65.86,5,2023-01-04 16:00:00
8544.92,175.24,146.69,0.0,32.9,415.88,487.14,83.09,5,2023-01-04 17:00:00
7690.43,143.05,146.69,0.0,34.81,392.23,460.44,86.13,5,2023-01-04 18:00:00
6568.91,109.08,141.2,0.0,30.99,339.55,398.31,76.0,5,2023-01-04 19:00:00
5447.39,78.68,134.35,0.0,27.18,296.24,345.66,66.88,5,2023-01-04 20:00:00
4592.9,52.3,124.75,0.0,25.03,265.06,309.33,61.81,5,2023-01-04 21:00:00
3685.0,27.49,112.41,0.05,22.17,231.23,269.43,56.24,5,2023-01-04 22:00:00
3070.83,12.18,101.45,0.44,20.98,210.42,244.46,54.21,5,2023-01-04 23:00:00
2937.32,8.05,97.33,0.73,21.7,209.09,242.78,57.25,5,2023-01-05 00:00:00
3070.83,12.29,95.96,0.42,23.6,211.03,246.17,62.32,5,2023-01-05 01:00:00
4112.24,49.62,95.96,0.01,30.28,238.72,281.29,77.01,5,2023-01-05 02:00:00
6622.31,143.05,105.56,0.1,41.96,297.05,352.15,101.33,5,2023-01-05 03:00:00
10147.09,264.64,124.75,2.06,57.7,389.62,462.42,135.78,5,2023-01-05 04:00:00
12710.57,343.32,154.91,5.99,71.53,474.46,560.37,164.15,5,2023-01-05 05:00:00
12603.76,311.14,194.67,12.87,68.66,492.02,572.33,154.02,5,2023-01-05 06:00:00
2510.07,23.69,76.77,79.39,37.19,128.82,148.08,28.37,5,2023-01-05 07:00:00
1815.8,11.96,54.84,108.72,33.86,112.71,128.75,19.51,5,2023-01-05 08:00:00
1575.47,7.49,45.24,128.75,31.95,114.24,129.49,16.09,5,2023-01-05 09:00:00
2857.21,22.58,89.11,73.67,23.13,161.37,184.69,22.04,5,2023-01-05 10:00:00
4699.71,61.69,130.24,21.1,17.4,231.97,267.43,30.91,5,2023-01-05 11:00:00
6355.29,118.02,152.17,2.68,19.79,287.9,333.51,43.06,5,2023-01-05 12:00:00
8651.73,203.85,180.96,0.01,29.56,349.29,406.24,66.88,5,2023-01-05 13:00:00
10467.53,261.07,205.64,0.0,38.15,411.96,481.0,88.16,5,2023-01-05 14:00:00
10787.96,261.07,216.6,0.0,40.53,457.13,534.4,100.31,5,2023-01-05 15:00:00
10681.15,246.76,211.12,0.0,41.01,488.76,569.55,102.34,5,2023-01-05 16:00:00
