Timestamp,AQI,CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3
2022-01-01 00:00:00,5.0,2670.29,4.41,66.49,3.04,3.7,162.32,205.41,14.19
2022-01-01 01:00:00,5.0,2323.15,0.63,53.47,10.91,2.38,148.41,183.71,8.61
2022-01-01 02:00:00,5.0,2029.42,0.06,38.04,20.38,1.97,143.72,173.28,6.59
2022-01-01 03:00:00,5.0,1789.09,0.03,28.1,23.6,1.82,141.43,167.42,6.33
2022-01-01 04:00:00,5.0,1655.58,0.04,23.99,21.99,2.0,141.25,164.79,7.09
2022-01-01 05:00:00,5.0,1602.17,0.07,23.65,20.38,2.38,140.62,162.18,8.36
2022-01-01 06:00:00,5.0,1682.28,0.29,28.1,15.38,3.37,145.53,166.77,10.64
2022-01-01 07:00:00,5.0,2296.45,10.06,39.41,1.97,6.14,177.03,205.26,16.97
2022-01-01 08:00:00,5.0,3524.78,48.73,39.41,0.93,9.54,236.5,277.97,23.81
2022-01-01 09:00:00,5.0,4859.92,87.62,41.47,2.79,10.85,299.61,356.14,26.6
2022-01-01 10:00:00,5.0,5714.42,103.71,52.09,7.42,10.61,347.63,413.2,31.16
2022-01-01 11:00:00,5.0,5874.63,79.57,81.57,21.99,10.37,364.69,427.33,29.64
2022-01-01 12:00:00,5.0,1041.41,3.05,16.96,121.59,7.63,68.31,77.66,5.38
2022-01-01 13:00:00,5.0,794.41,1.58,10.11,134.47,7.87,55.99,63.32,4.69
2022-01-01 14:00:00,5.0,767.71,1.12,9.68,140.19,9.42,55.28,62.76,5.13
2022-01-01 15:00:00,5.0,1281.74,3.8,29.82,97.27,9.78,75.24,89.41,12.29
2022-01-01 16:00:00,5.0,2029.42,10.06,54.84,45.78,9.18,107.77,131.95,20.01
2022-01-01 17:00:00,5.0,2696.99,20.34,73.34,8.85,9.3,131.95,165.12,26.6
2022-01-01 18:00:00,5.0,3257.75,42.92,72.66,0.02,10.13,157.98,198.84,34.45
2022-01-01 19:00:00,5.0,3337.86,46.49,65.12,0.0,8.94,182.18,227.37,37.49
2022-01-01 20:00:00,5.0,2937.32,29.06,59.63,0.05,6.85,197.14,240.97,31.92
2022-01-01 21:00:00,5.0,2429.96,6.93,58.95,2.5,5.07,200.15,237.37,18.49
