Timestamp,AQI,CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3
2022-01-01 00:00:00,5,6622.31,56.77,163.14,0.0,17.17,418.31,474.8,44.08
2022-01-01 01:00:00,5,5981.45,43.81,161.77,0.0,17.64,400.05,451.87,48.13
2022-01-01 02:00:00,5,5607.6,31.74,161.77,0.01,18.36,397.87,446.89,54.21
2022-01-01 03:00:00,5,5287.17,20.56,159.03,0.07,19.07,394.84,441.06,60.29
2022-01-01 04:00:00,5,5126.95,14.75,157.65,0.12,20.98,391.3,436.59,67.89
2022-01-01 05:00:00,5,5180.36,17.43,159.03,0.04,24.32,391.94,440.94,78.02
2022-01-01 06:00:00,5,5233.76,23.92,154.91,0.02,27.66,373.83,428.41,86.13
2022-01-01 07:00:00,5,5714.42,54.99,141.2,0.0,32.9,368.77,427.06,98.29
2022-01-01 08:00:00,5,7583.62,132.32,138.46,0.04,42.44,403.36,466.76,118.55
2022-01-01 09:00:00,5,10147.09,228.88,148.06,0.55,55.31,468.43,540.2,147.94
2022-01-01 10:00:00,5,12176.51,300.41,161.77,1.77,66.76,533.54,611.83,172.26
2022-01-01 11:00:00,5,12176.51,296.83,167.25,3.62,63.9,542.07,615.7,162.12
2022-01-01 12:00:00,5,2883.91,18.1,87.74,47.21,36.24,200.24,222.18,31.16
2022-01-01 13:00:00,5,2296.45,8.05,69.92,75.1,39.58,184.93,202.92,22.55
2022-01-01 14:00:00,5,2429.96,7.93,76.77,79.39,47.68,197.45,216.14,22.29
2022-01-01 15:00:00,5,3044.13,11.4,100.08,53.64,41.48,221.64,243.12,23.05
2022-01-01 16:00:00,5,3738.4,16.99,120.64,18.6,24.56,254.37,280.06,23.81
2022-01-01 17:00:00,5,4165.65,29.95,120.64,2.08,14.07,279.93,309.37,24.07
2022-01-01 18:00:00,5,4646.3,53.2,111.04,0.01,10.61,293.33,325.1,25.59
2022-01-01 19:00:00,5,4859.92,61.69,104.19,0.0,9.89,292.81,325.05,27.36
2022-01-01 20:00:00,5,4539.49,51.86,95.96,0.0,9.06,273.54,303.9,27.61
2022-01-01 21:00:00,5,4592.9,52.75,89.11,0.0,9.06,267.55,298.85,29.39
2022-01-01 22:00:00,5,5233.76,74.21,82.94,0.0,9.78,295.02,330.97,33.44
2022-01-01 23:00:00,5,5981.45,100.14,78.14,0.0,9.89,332.7,371.91,33.94
2022-01-02 00:00:00,5,6088.26,106.39,77.46,0.0,11.09,344.8,382.61,36.98
2022-01-02 01:00:00,5,6088.26,101.92,85.0,0.0,13.47,352.49,392.62,44.58
2022-01-02 02:00:00,5,6195.07,96.56,94.59,0.0,15.02,368.98,417.48,51.17
2022-01-02 03:00:00,5,5714.42,76.89,97.33,0.0,14.78,356.03,410.57,53.7
2022-01-02 04:00:00,5,4966.74,55.88,93.22,0.0,14.31,327.26,380.86,53.7
2022-01-02 05:00:00,5,4432.68,43.81,87.05,0.0,14.66,304.26,355.07,53.7
2022-01-02 06:00:00,5,3952.03,36.21,81.57,0.0,15.5,273.7,319.38,53.7
2022-01-02 07:00:00,5,4112.24,50.96,77.46,0.0,18.84,259.26,303.07,57.76
2022-01-02 08:00:00,5,5073.55,99.24,75.4,0.1,23.37,267.08,312.75,64.85
2022-01-02 09:00:00,5,6515.5,159.14,74.03,1.34,21.22,296.2,347.46,58.77
2022-01-02 10:00:00,5,7049.56,182.39,76.09,4.2,15.26,306.94,359.12,45.09
