Timestamp,AQI,CO,NO,NO2,O3,SO2,PM2.5,PM10,NH3
2022-01-01 00:00:00,5.0,1548.77,0.01,32.56,17.52,4.83,124.83,167.96,23.31
2022-01-01 01:00:00,5.0,1615.52,0.02,38.04,13.59,4.95,129.32,169.74,27.36
2022-01-01 02:00:00,5.0,1695.63,0.05,42.84,9.75,4.77,137.27,176.0,30.4
2022-01-01 03:00:00,5.0,1735.69,0.11,43.87,7.06,4.29,147.31,183.91,30.91
2022-01-01 04:00:00,5.0,1735.69,0.2,43.18,5.45,4.11,156.88,190.89,31.92
2022-01-01 05:00:00,5.0,1762.39,0.32,43.18,4.11,4.17,166.03,197.25,34.45
2022-01-01 06:00:00,5.0,1815.8,0.54,42.16,2.95,3.55,173.44,202.79,28.12
2022-01-01 07:00:00,5.0,1976.01,1.82,40.78,1.22,3.55,187.02,217.48,22.04
2022-01-01 08:00:00,5.0,2216.34,4.92,38.04,0.52,3.99,206.79,241.56,18.24
2022-01-01 09:00:00,5.0,2483.37,11.18,30.85,6.62,3.99,219.7,258.37,14.82
2022-01-01 10:00:00,5.0,2643.59,13.3,26.05,19.31,3.61,227.01,266.61,15.07
2022-01-01 11:00:00,5.0,2670.29,7.93,26.39,52.93,3.81,240.49,276.6,14.44
2022-01-01 12:00:00,5.0,781.06,0.43,3.56,138.76,9.18,95.09,103.64,1.3
2022-01-01 13:00:00,5.0,674.25,0.22,1.91,150.2,9.66,89.32,96.39,0.21
2022-01-01 14:00:00,5.0,634.19,0.15,1.48,153.06,9.42,88.06,94.48,0.0
2022-01-01 15:00:00,5.0,594.14,0.13,1.44,151.63,8.7,86.9,92.83,0.0
2022-01-01 16:00:00,5.0,587.46,0.11,1.69,150.2,8.11,87.2,93.12,0.0
2022-01-01 17:00:00,5.0,580.79,0.05,2.1,147.34,7.87,86.92,92.94,0.0
2022-01-01 18:00:00,5.0,700.95,0.01,5.27,117.3,7.39,98.19,108.51,4.94
2022-01-01 19:00:00,5.0,907.9,0.0,9.51,86.55,7.33,117.98,135.17,10.89
2022-01-01 20:00:00,5.0,1081.47,0.0,12.34,69.38,7.57,135.58,159.55,14.57
2022-01-01 21:00:00,5.0,1148.22,0.0,12.85,62.23,7.75,146.8,174.75,15.83
2022-01-01 22:00:00,5.0,1214.98,0.0,14.22,53.64,7.27,155.47,186.25,16.47
2022-01-01 23:00:00,5.0,1281.74,0.0,16.11,42.2,5.9,162.89,196.15,16.97
2022-01-02 00:00:00,5.0,1268.39,0.0,15.94,33.26,4.17,162.5,196.19,16.09
2022-01-02 01:00:00,5.0,1174.93,0.0,14.22,27.89,2.89,152.49,183.42,15.45
2022-01-02 02:00:00,5.0,1068.12,0.0,12.68,24.68,2.26,137.31,166.14,15.83
2022-01-02 03:00:00,5.0,1001.36,0.01,12.0,22.71,1.88,124.06,151.78,15.07
2022-01-02 04:00:00,5.0,961.3,0.01,11.82,21.28,1.37,115.97,141.13,11.15
2022-01-02 05:00:00,5.0,934.6,0.01,11.31,22.35,1.01,110.27,130.02,6.84
2022-01-02 06:00:00,5.0,894.55,0.0,9.94,27.54,0.98,102.4,115.98,4.43
2022-01-02 07:00:00,5.0,947.95,0.01,10.71,27.18,1.31,106.23,119.0,4.75
2022-01-02 08:00:00,5.0,1001.36,0.05,11.48,25.03,1.58,112.41,125.87,5.13
2022-01-02 09:00:00,5.0,1001.36,0.96,9.94,27.54,1.65,112.0,126.21,6.02
2022-01-02 10:00:00,5.0,988.01,2.24,7.63,35.05,1.74,108.78,124.21,7.73
2022-01-02 11:00:00,5.0,988.01,2.15,7.28,52.93,1.82,111.61,128.04,8.11
2022-01-02 12:00:00,4.0,467.3,0.27,1.86,125.89,1.89,42.69,46.3,2.09
2022-01-02 13:00:00,4.0,447.27,0.19,1.44,135.9,2.41,40.91,44.18,1.96
2022-01-02 14:00:00,4.0,467.3,0.16,1.33,144.48,3.19,45.7,49.35,2.25
2022-01-02 15:00:00,4.0,460.62,0.13,1.3,147.34,3.81,45.04,48.53,2.44
2022-01-02 16:00:00,4.0,447.27,0.13,1.56,148.77,5.19,44.81,48.22,2.6
2022-01-02 17:00:00,4.0,447.27,0.1,2.08,150.2,7.75,46.21,49.72,2.75
2022-01-02 18:00:00,5.0,514.03,0.0,4.11,134.47,10.73,53.63,59.19,4.81
2022-01-02 19:00:00,5.0,640.87,0.0,7.2,111.58,13.23,67.59,77.34,7.85
2022-01-02 20:00:00,5.0,781.06,0.0,10.37,94.41,14.07,85.13,99.93,10.26
2022-01-02 21:00:00,5.0,921.25,0.0,12.85,81.54,12.99,104.95,124.35,11.91
2022-01-02 22:00:00,5.0,1041.41,0.0,14.74,70.81,10.73,125.39,148.89,12.67
2022-01-02 23:00:00,5.0,1134.87,0.0,15.77,60.8,7.87,143.44,169.33,12.54
2022-01-03 00:00:00,5.0,1161.58,0.0,15.42,50.07,4.89,155.5,181.48,11.65
2022-01-03 01:00:00,5.0,1201.63,0.0,15.59,38.27,2.92,164.57,190.43,11.27
2022-01-03 02:00:00,5.0,1228.33,0.0,15.77,29.33,2.09,173.64,199.38,11.02
2022-01-03 03:00:00,5.0,1228.33,0.01,15.25,23.96,1.77,181.09,205.9,8.99
2022-01-03 04:00:00,5.0,1214.98,0.01,14.39,20.21,1.67,188.01,211.77,6.59
2022-01-03 05:00:00,5.0,1214.98,0.03,13.71,16.99,1.61,193.83,216.54,4.94
2022-01-03 06:00:00,5.0,1214.98,0.06,13.37,14.66,1.64,198.25,220.44,4.18
2022-01-03 07:00:00,5.0,1308.44,0.16,14.57,12.87,2.41,208.76,232.52,4.75
2022-01-03 08:00:00,5.0,1388.55,0.15,16.11,17.17,3.7,219.52,244.33,4.94
2022-01-03 09:00:00,5.0,1241.68,0.44,11.48,47.92,6.68,212.64,232.57,3.99
2022-01-03 10:00:00,5.0,1241.68,1.23,9.85,62.94,7.03,212.12,232.57,5.38
2022-01-03 11:00:00,5.0,1228.33,1.2,8.23,89.41,7.75,213.2,233.68,5.07
2022-01-03 12:00:00,5.0,761.03,0.26,2.53,145.91,17.17,143.12,151.48,0.11
2022-01-03 13:00:00,5.0,654.22,0.18,1.69,150.2,12.99,113.03,119.85,0.0
2022-01-03 14:00:00,5.0,600.81,0.15,1.46,151.63,10.61,96.81,103.05,0.29
2022-01-03 15:00:00,5.0,567.44,0.13,1.5,151.63,9.06,86.39,92.32,0.85
2022-01-03 16:00:00,5.0,554.08,0.11,1.74,151.63,8.11,80.7,86.67,1.41
2022-01-03 17:00:00,5.0,547.41,0.05,2.06,148.77,7.15,74.43,80.5,2.06
2022-01-03 18:00:00,5.0,627.52,0.01,4.24,125.89,6.2,75.18,84.38,5.51
2022-01-03 19:00:00,5.0,774.38,0.0,7.54,98.71,5.66,81.17,95.76,9.75
2022-01-03 20:00:00,5.0,894.55,0.0,10.2,80.11,5.19,85.62,105.11,12.67
2022-01-03 21:00:00,5.0,1001.36,0.0,12.85,63.66,4.65,89.34,113.85,14.57
2022-01-03 22:00:00,5.0,1161.58,0.0,17.65,47.92,4.59,100.66,130.96,16.21
2022-01-03 23:00:00,5.0,1308.44,0.0,21.76,37.91,4.59,115.39,150.63,16.72
2022-01-04 00:00:00,5.0,1308.44,0.0,21.76,34.33,4.05,125.3,160.21,14.82
2022-01-04 01:00:00,5.0,1255.04,0.0,19.88,31.83,3.25,129.91,159.54,12.16
2022-01-04 02:00:00,5.0,1201.63,0.0,17.48,32.19,3.01,132.25,154.66,10.26
2022-01-04 03:00:00,5.0,1108.17,0.0,13.54,45.42,6.14,135.73,149.08,6.65
2022-01-04 04:00:00,5.0,1028.06,0.0,11.65,46.49,7.15,133.17,141.51,5.26
2022-01-04 05:00:00,5.0,921.25,0.0,9.17,50.07,7.27,120.77,126.27,3.77
2022-01-04 06:00:00,5.0,761.03,0.0,6.08,60.8,7.15,97.86,101.93,2.69
2022-01-04 07:00:00,5.0,714.3,0.0,5.91,61.51,4.89,85.35,90.89,3.64
2022-01-04 08:00:00,5.0,754.36,0.0,7.54,56.51,3.87,83.32,91.94,5.0
2022-01-04 09:00:00,5.0,821.11,0.31,8.91,50.07,3.61,84.14,95.92,6.84
2022-01-04 10:00:00,5.0,847.82,1.23,8.48,52.21,4.29,83.38,96.63,8.04
2022-01-04 11:00:00,5.0,827.79,1.68,8.05,65.8,6.97,82.38,94.49,6.97
2022-01-04 12:00:00,5.0,647.54,0.78,4.97,103.0,9.54,69.39,75.25,3.29
2022-01-04 13:00:00,5.0,594.14,0.42,3.17,121.59,7.99,65.63,70.27,3.13
2022-01-04 14:00:00,5.0,600.81,0.29,2.53,128.75,6.85,67.78,72.26,3.45
2022-01-04 15:00:00,5.0,600.81,0.17,2.4,128.75,5.96,67.9,72.25,3.67
2022-01-04 16:00:00,5.0,600.81,0.09,2.59,125.89,5.19,68.51,72.83,3.99
2022-01-04 17:00:00,5.0,614.17,0.03,2.68,120.16,4.23,70.84,75.13,4.24
2022-01-04 18:00:00,5.0,634.19,0.0,2.78,114.44,3.46,74.03,78.07,4.37
2022-01-04 19:00:00,5.0,680.92,0.0,3.47,108.72,3.37,78.99,83.2,4.75
2022-01-04 20:00:00,5.0,714.3,0.0,4.16,104.43,3.25,84.0,88.68,4.37
2022-01-04 21:00:00,5.0,741.0,0.0,4.76,101.57,3.34,86.05,90.99,3.58
2022-01-04 22:00:00,5.0,767.71,0.0,5.44,97.27,3.7,86.36,91.57,3.48
2022-01-04 23:00:00,5.0,794.41,0.0,5.83,92.98,4.11,87.17,92.43,3.29
2022-01-05 00:00:00,5.0,787.73,0.0,5.18,91.55,4.05,84.24,88.66,2.72
2022-01-05 01:00:00,5.0,761.03,0.0,4.63,89.41,3.43,79.6,83.56,2.22
2022-01-05 02:00:00,5.0,754.36,0.0,4.63,80.82,2.59,74.57,78.46,1.85
2022-01-05 03:00:00,5.0,794.41,0.0,5.74,67.95,1.97,68.05,71.39,1.46
2022-01-05 04:00:00,5.0,841.14,0.0,7.03,56.51,2.06,65.12,67.72,1.19
2022-01-05 05:00:00,5.0,814.44,0.0,6.6,52.93,2.32,61.98,63.91,1.06
2022-01-05 06:00:00,5.0,747.68,0.0,5.44,52.93,2.35,59.82,61.85,1.31
2022-01-05 07:00:00,5.0,714.3,0.0,5.14,52.93,2.44,60.23,63.19,1.85
2022-01-05 08:00:00,5.0,714.3,0.01,5.65,52.21,2.8,62.51,66.8,2.31
2022-01-05 09:00:00,5.0,734.33,0.22,6.51,49.35,3.19,65.86,71.61,2.69
2022-01-05 10:00:00,5.0,734.33,0.52,6.6,50.78,3.19,65.39,72.55,2.85
2022-01-05 11:00:00,5.0,707.63,0.31,6.34,57.22,2.95,62.28,70.05,3.04
2022-01-05 12:00:00,5.0,574.11,0.08,2.96,91.55,6.85,58.48,61.47,0.14
2022-01-05 13:00:00,5.0,540.73,0.11,1.93,101.57,5.72,54.12,56.21,0.05
2022-01-05 14:00:00,5.0,534.06,0.13,1.59,105.86,4.65,50.17,52.08,0.42
2022-01-05 15:00:00,4.0,514.03,0.13,1.31,108.72,3.55,43.95,45.69,0.74
2022-01-05 16:00:00,4.0,500.68,0.12,1.39,107.29,3.16,39.66,41.41,1.14
2022-01-05 17:00:00,4.0,507.35,0.07,1.8,104.43,3.34,38.79,40.76,1.61
2022-01-05 18:00:00,5.0,694.27,0.01,5.91,77.96,3.73,51.38,58.41,7.28
2022-01-05 19:00:00,5.0,1028.06,0.0,12.0,48.64,4.35,75.11,90.75,13.68
2022-01-05 20:00:00,5.0,1335.14,0.0,17.65,33.26,5.48,99.14,123.4,18.49
2022-01-05 21:00:00,5.0,1548.77,0.01,21.76,25.75,6.74,117.29,148.53,24.57
2022-01-05 22:00:00,5.0,1735.69,0.04,25.02,17.7,6.68,136.16,173.92,23.81
2022-01-05 23:00:00,5.0,1789.09,0.11,26.05,10.82,4.77,144.03,186.46,17.23
2022-01-06 00:00:00,5.0,1642.23,0.17,25.36,6.44,2.53,133.68,174.74,10.13
2022-01-06 01:00:00,5.0,1575.47,0.35,24.33,3.89,1.46,127.76,164.64,5.95
2022-01-06 02:00:00,5.0,1535.42,0.4,21.59,3.8,1.09,125.45,157.21,4.43
2022-01-06 03:00:00,5.0,1361.85,0.1,16.45,9.48,1.18,113.56,135.76,4.43
2022-01-06 04:00:00,5.0,1201.63,0.02,12.85,16.45,1.12,101.17,117.98,2.94
2022-01-06 05:00:00,5.0,1214.98,0.0,14.05,21.28,1.25,97.01,110.57,2.09
2022-01-06 06:00:00,5.0,1028.06,0.0,10.62,46.49,6.02,89.52,97.83,1.25
2022-01-06 07:00:00,5.0,867.84,0.0,8.23,47.92,5.96,69.26,76.43,2.09
2022-01-06 08:00:00,4.0,794.41,0.0,7.11,47.21,4.77,47.61,54.4,2.79
2022-01-06 09:00:00,4.0,781.06,0.1,6.85,47.21,4.23,34.75,40.95,3.2
2022-01-06 10:00:00,4.0,821.11,0.39,7.88,46.49,4.47,32.83,39.06,3.86
2022-01-06 11:00:00,4.0,847.82,0.54,8.57,46.49,5.01,34.85,41.0,4.12
2022-01-06 12:00:00,5.0,821.11,0.2,5.01,72.96,10.49,52.77,56.33,1.22
2022-01-06 13:00:00,5.0,821.11,0.08,2.7,92.98,10.37,61.73,64.29,0.53
2022-01-06 14:00:00,5.0,807.76,0.04,1.82,104.43,8.23,61.67,63.97,0.59
2022-01-06 15:00:00,5.0,781.06,0.03,1.52,108.72,6.5,58.95,61.23,0.82
2022-01-06 16:00:00,5.0,761.03,0.02,1.52,111.58,5.48,57.32,59.57,1.08
2022-01-06 17:00:00,5.0,754.36,0.01,1.67,111.58,4.89,57.57,59.91,1.28
2022-01-06 18:00:00,5.0,774.38,0.0,2.31,107.29,4.71,60.2,62.61,1.87
2022-01-06 19:00:00,5.0,814.44,0.0,3.51,100.14,4.41,63.97,66.93,2.72
2022-01-06 20:00:00,5.0,841.14,0.0,4.46,94.41,3.76,64.11,67.82,2.72
